,title,image,recipe keys,personal points,calories,summary
12,Ratatouille,https://www.skinnytaste.com/wp-content/uploads/2024/08/Ratatouille-6-1.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",2,115,"Ratatouille is the perfect summer side dish for your favorite roasted chicken, grilled meats, or fish! It adds a burst of color and flavor to every meal."
13,Pretzel Crusted Chicken Tenders,https://www.skinnytaste.com/wp-content/uploads/2024/08/Pretzel-Chicken-Fingers-with-Honey-Mustard-13.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly']",4,267,"Craving something crispy, kid-friendly, and absolutely delicious? Make these easy Pretzel Crusted Chicken Tenders with honey mustard! Baked or Air Fryer!"
14,Lemon Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2024/07/Lemon-Viniagrette-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",5,123,"This is my go-to Lemon Vinaigrette recipe. I love it over any salad, from simple green salads, Cobb salad and even over roasted veggies. It’s bright, healthy, and can be made ahead."
15,Slow Cooker Beef Stew,https://www.skinnytaste.com/wp-content/uploads/2024/07/Slow-Cooker-Beef-Stew-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Meal Prep Recipes', 'Slow Cooker Recipes']",7,356,Slow Cooker Beef Stew is the ultimate comfort food! It’s perfect for those crisp fall evenings or chilly winter days when you crave something hearty and satisfying.
16,Deviled Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Lazy-Deviled-Egg-Salad-13.jpg,"['Air Fryer Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Meal Prep Recipes', 'Vegetarian Meals']",3,215,"This lazy Deviled Egg Salad takes a classic appetizer and turns it into a quick lunch! It has the same ingredients but no piping or filling. Simply mix it all together and serve it with a spoon, on toast or a rice cake."
17,Shrimp and Rice (Arroz Con Camarones),https://www.skinnytaste.com/wp-content/uploads/2024/08/Arroz-Con-Camarones-12.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes']",9,433,Costa Rican Inspired Shrimp and Rice (Arroz Con Camarones) is a traditional Costa Rican recipe that’s so easy and flavorful!
18,Bruschetta Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2024/07/Bruschetta-Pasta-Salad-6.jpg,"['Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",10,364,"Serve this delicious Bruschetta Pasta Salad at your next BBQ or summer party. It’s the perfect light summer dish loaded with in-season plum tomatoes, mozzarella, basil, and a drizzle of balsamic glaze."
19,Watermelon Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-10.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",2,85,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ!"
20,Coconut Popsicles,https://www.skinnytaste.com/wp-content/uploads/2009/06/Coconut-Pops_19.jpg,"['Gluten Free', 'Kid Friendly']",5,106,"These homemade coconut popsicles are rich, creamy, and super simple to make! They’re the perfect summertime refresher."
21,Sheet Pan Shrimp with Corn and Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2024/07/Old-Bay-Sheen-Pan-Shrimp-with-Corn-and-Tomatoes-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Under 30 Minutes']",3,295,"This Sheet Pan Shrimp with Corn and Tomatoes is the perfect one-pan summer dinner, with easy cleanup!"
22,Strawberry Yogurt Bark,https://www.skinnytaste.com/wp-content/uploads/2024/07/Strawberry-Yogurt-Bark-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",2,60,"If you’re looking for a healthy snack with some added protein for the kids this summer, you’ll love this strawberry yogurt bark!"
23,Broccoli Cauliflower Salad,https://www.skinnytaste.com/wp-content/uploads/2008/12/Broccoli-and-Cauliflower-Salad-with-Capers-and-Lemon-Vinaigrette-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",2,97,"This Broccoli Cauliflower Salad recipe is quick and easy, ideal for warmer weather or if you’re looking for a different way to prepare broccoli."
24,Juicy Grilled Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Pork-Chops-13.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb']",5,272,Juicy Grilled Pork Chops are brined in a saltwater solution and then seasoned with a flavorful dry rub to create the most delicious pork chops!
25,Grilled Eggplant with Feta,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Eggplant-with-Feta-7.jpg,"['Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",3,106,"If you need an easy side dish this summer, this grilled eggplant with feta cheese is great with anything you’re grilling."
26,Korean Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/06/Korean-Grilled-Chicken-Breast-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Under 30 Minutes']",2,180,"These grilled Korean Chicken Breasts are juicy, sweet, and spicy! I grill them all year, using my indoor grill pan when it’s cold."
27,Blueberry Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2024/07/Blueberry-Zucchini-Bread-10.jpg,"['Freezer Meals', 'Kid Friendly', 'Vegetarian Meals']",4,111,"This moist and delicious Blueberry Zucchini Bread is low-fat, lightly sweetened, and loaded with summer zucchini and blueberries. Perfect for breakfast or as a snack!"
28,Green Goddess Dressing,https://www.skinnytaste.com/wp-content/uploads/2009/09/Green-Goddess-Dressing_08.jpg,"['Gluten Free', 'Low Carb']",1,60.3,Creamy and herbaceous basil green goddess dressing is the perfect way to give your next salad an upgrade! Fresh basil makes this dressing a standout.
29,Watermelon Cucumber Granita,https://www.skinnytaste.com/wp-content/uploads/2024/07/Watermelon-Cucumber-Granita-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Vegetarian Meals']",0,38,"Cool off with this refreshing 4-ingredient, Watermelon Cucumber Granita. Easy to make, and no special equipment needed!"
30,High Protein Whipped Cottage Cheese Bowls,https://www.skinnytaste.com/wp-content/uploads/2024/06/High-Protein-Cottage-Cheese-Pudding-4.jpg,"['Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",6,328,"These quick and easy, high-protein Whipped Cottage Cheese Bowls, topped with fruit and almonds, are perfect for breakfast or as a snack."
31,Hot Crab Dip,https://www.skinnytaste.com/wp-content/uploads/2024/06/Crab-and-Corn-Dip-7.jpg,[],1,124,This hot crab dip with sweet summer corn and a butter cracker topping makes a delicious appetizer if you’re entertaining.
32,Virgin Mojito (Nojito),https://www.skinnytaste.com/wp-content/uploads/2010/06/Nojito-6.jpg,"['Gluten Free', 'Low Carb', 'Vegetarian Meals']",0,13,"This sugar-free, virgin Mojito mocktail is refreshing when you want an adult cocktail, without the alcohol. Filled with lime, fresh mint and lemon-lime seltzer, they’re perfectly enjoyable to drink."
33,Flounder Piccata,https://www.skinnytaste.com/wp-content/uploads/2011/12/Flounder-Piccata-5.jpg,['Under 30 Minutes'],5,280,Flounder piccata is breaded and lightly pan fried served in a lemon butter sauce with capers and parsley. A delicious way to prepare fish!
34,Cucumber Soup,https://www.skinnytaste.com/wp-content/uploads/2024/06/Cucumber-Soup-8.jpg,"['Gluten Free', 'Low Carb', 'Vegetarian Meals']",3,169,"A refreshing and light cold Cucumber Soup made with Greek yogurt and fresh herbs. It’s easy to make, no cooking or heating the kitchen, making it perfect for a hot summer day."
35,Soy-Marinated Beef and Broccoli Skewers,https://www.skinnytaste.com/wp-content/uploads/2024/06/Asian-Beef-and-Broccoli-Skewers-13.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly']",5,199,"If you love beef and broccoli stir fry, you’ll love these soy-marinated Beef and Broccoli Skewers! A delicious summer dinner idea!"
36,Lobster Rolls,https://www.skinnytaste.com/wp-content/uploads/2022/07/Lobster-Rolls-10.jpg,"['High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes']",5,223,"This Lobster Roll recipe screams summer to me! Made with chunks of chilled lobster tossed with celery, shallots, chives, light mayonnaise and a little lemon zest served on a hot dog bun – delicious!"
37,Shrimp Fajitas,https://www.skinnytaste.com/wp-content/uploads/2010/05/Shrimp-Fajitas-13.jpg,"['High Protein Recipes', 'High-Fiber Recipes', 'Under 30 Minutes']",4,357,"These shrimp fajitas, seasoned with Chipotle chile powder, cilantro and lime make and easy, 30-minute dinner idea!"
38,Berry Buckle,https://www.skinnytaste.com/wp-content/uploads/2024/06/Berry-Buckle-10.jpg,['Kid Friendly'],5,145,"This Mixed Berry Buckle, a rustic cake loaded with juicy, seasonal blueberries, raspberries, and blackberries, is the perfect summer dessert."
39,"Orzo with Bacon, Leeks, Peas, Spinach and Lemon",https://www.skinnytaste.com/wp-content/uploads/2024/06/Orzo-with-Bacon-Peas-Spinach-and-Lemon-8.jpg,['Under 30 Minutes'],7,314,"This easy Orzo with Bacon, Leeks, Peas, Spinach and Lemon is a one-pot meal that’s sure to become a regular on your dinner rotation!"
40,Grilled Shrimp Tacos with Peach Salsa,https://www.skinnytaste.com/wp-content/uploads/2024/06/Grilled-Shrimp-Tacos-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes']",6,296,These easy grilled shrimp tacos with sweet and juicy peach salsa are the perfect way to bring summer to your dinner table!
41,Air Fryer Boneless Chicken Thighs,https://www.skinnytaste.com/wp-content/uploads/2024/06/Air-Fryer-Chicken-Thighs-6.jpg,"['Air Fryer Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes']",6,384,The secret to making the juiciest boneless chicken thighs in the air fryer is marinating them with yogurt. They come out delicious!
42,Pan Bagnat,https://www.skinnytaste.com/wp-content/uploads/2024/06/pan-bagnet-10.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",6,308,"Pan Bagnat is a protein-packed tuna sandwich from Nice, France. It’s like a handheld Salade Niçoise only without the potatoes and perfect for picnics or a make-ahead lunch!"
43,Grilled Skirt Steak and Elote Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/06/skirt-steak-tacos-7.jpg,"['Gluten Free', 'High Protein Recipes', 'Kid Friendly']",10,418,Grilled skirt steak tacos topped with Mexican street corn is a match made in heaven for an easy summer dinner idea!
44,Grilled Shrimp,https://www.skinnytaste.com/wp-content/uploads/2024/06/Garlic-Butter-Grilled-Shrimp-13.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes']",3,202,This super easy grilled shrimp recipe with garlic butter is a family favorite and a win-win for busy weeknights!
45,Filipino BBQ Pork Skewers,https://www.skinnytaste.com/wp-content/uploads/2008/08/Filipino-BBQ-Pork-Skewers-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb']",2,201,The unique ingredient that makes these Filipino BBQ Pork Skewers so good is a can of 7-Up soda! They’re perfect for summer grilling!
46,Grape Tomato Sauce,https://www.skinnytaste.com/wp-content/uploads/2012/07/Easy-Garden-Tomato-Sauce-7-scaled.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",1,73,"When grape tomatoes are overflowing in your garden, whip up a quick, easy tomato sauce! Grape or cherry tomatoes sauteed with olive oil, garlic, and fresh herbs are perfect over pasta, grilled chicken, or fish."
47,Korean Beef Recipe,https://www.skinnytaste.com/wp-content/uploads/2016/03/Korean-Beef-Rice-Bowls-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes']",13,394,"An easy and delicious Korean beef recipe is made with ground beef, served over rice with cucumbers and gochujang sauce."
48,Gallo Pinto,https://www.skinnytaste.com/wp-content/uploads/2024/05/Gallo-Pinto-13.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",4,266,"Gallo Pinto is a Central American breakfast typically served with fried eggs, sour cream, and plantains. It’s made with leftover rice and black beans, so it’s quick to prepare."
49,Juicy Lucy (Stuffed Turkey Cheeseburger),https://www.skinnytaste.com/wp-content/uploads/2019/06/Inside-Out-Turkey-Cheeseburgers-7.jpg,"['High-Fiber Recipes', 'Kid Friendly', 'Under 30 Minutes']",9,309,"A juicy, stuffed Turkey Cheeseburger (known as a Juicy Lucy) is delicious and easy! Instead of topping your turkey burger with cheese, the cheese is stuffed in the center so it stays melted and gooey."
50,Salad with Berries and Pecans,https://www.skinnytaste.com/wp-content/uploads/2008/03/Baby-Greens-with-Blackberries-and-Pecans-11.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",4,155,"This healthy summer side salad with berries is loaded with sweet, juicy blackberries and raspberries adding a burst of sweetness in every bite. Complimented with a light vinaigrettePecans add the perfect crunch."
51,Grilled Chicken Caprese,https://www.skinnytaste.com/wp-content/uploads/2024/05/Grilled-Chicken-Caprese-9.jpg,"['Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes']",4,284,"This 15-minute, high-protein, Grilled Chicken Caprese salad is made with grilled chicken breast cutlets, topped with fresh mozzarella, tomatoes, basil and balsamic glaze, served over a bed of arugula."
52,Chicken Tikka Masala,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chicken-Tikka-Masala-15.jpg,"['Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",1,249,"This easy Chicken Tikka Masala is made with tender chunks of boneless chicken breasts cooked in an aromatic, creamy yogurt-tomato sauce."
53,"Red, White and Blueberry Cheesecake Cupcakes",https://www.skinnytaste.com/wp-content/uploads/2019/05/Red-White-and-Blue-Cheesecake-Cupcakes-8.jpg,['Vegetarian Meals'],5,98,"Easy Cheesecake cupcakes made with cream cheese, Greek yogurt with a vanilla wafer crust topped with strawberries and blueberries."
54,Nicoise Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Salmon-Nicoise-Salad-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Whole30 Recipes']",5,494,"I used salmon in place of tuna in this variation of the classic French Niçoise salad! This composed salad contains olives, artichokes, potatoes, green beans, and a whole-grain mustard vinaigrette."
55,Slow Cooker Pulled Pork,https://www.skinnytaste.com/wp-content/uploads/2023/06/pulled-pork-08.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Slow Cooker Recipes']",7,203,"This easy, “set it and forget it” Slow Cooker Pulled Pork comes out so tender and juicy, made from scratch with my homemade BBQ sauce."
56,Greek Orzo Salad,https://www.skinnytaste.com/wp-content/uploads/2024/05/Greek-Orzo-Salad-7.jpg,"['Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",5,173,This Greek Orzo Salad recipe is a light and flavorful pasta salad that’s delicious as a side dish or main dish. It’d be perfect with anything you’re grilling this summer!
57,Coconut Chicken Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2024/05/Coconut-Chicken-Rice-Bowls-12.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",8,429,"This quick and easy high-protein Coconut Chicken Rice Bowl is perfect for lunch or dinner for my gluten-free, dairy-free friends!"
58,Fish en Papillote,https://www.skinnytaste.com/wp-content/uploads/2024/05/Branzino-Parchment-Packets-16-scaled.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes']",3,383,"Mediterranean baked Fish en Papillote topped with a beans, Castelvetrano olives, artichoke hearts, cherry tomatoes, and fresh herbs."
59,Eton Mess,https://www.skinnytaste.com/wp-content/uploads/2024/05/Eton-Mess-10.jpg,"['Kid Friendly', 'Under 30 Minutes']",6,109,"Eton Mess is a classic British dessert made with berries (I used strawberries), whipped cream, and crushed vanilla meringue cookies. You can assemble it in one large bowl or layer it in individual glasses."
60,Thai Fried Rice,https://www.skinnytaste.com/wp-content/uploads/2008/09/Thai-Fried-Rice-12-scaled.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Under 30 Minutes']",7,347,"Thai fried rice gets it’s unique flavor from jasmine rice, fish sauce, soy sauce and chili peppers. Use your favorite protein like chicken, shrimp, or tofu."
61,Air Fryer Turkey Meatloaf,https://www.skinnytaste.com/wp-content/uploads/2024/05/Air-Fryer-Turkey-Meatloaf-7-scaled.jpg,"['Air Fryer Recipes', 'Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Meal Prep Recipes', 'Under 30 Minutes']",7,252,"You can’t beat the ease and convenience of air fryer turkey meatloaf—it’s perfectly moist and cooks in half the time, making it a game changer for weeknight dinners!"
62,Strawberry Rhubarb Crisp,https://www.skinnytaste.com/wp-content/uploads/2012/05/Strawberry-Rhubarb-Crisp-20-1.jpg,['Gluten Free'],9,219,"Warm strawberry rhubarb crisp with a dollop of whipped cream might just be the best easy spring dessert! Tart rhubarb and sweet strawberries are the perfect combination, especially with a cinnamon-spiced oat topping."
63,Green Curry Noodles,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Curry-Noodles-9-scaled.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Vegetarian Meals']",9,346,"This simple Thai-inspired Green Curry Noodle recipe uses a creamy coconut sauce with tofu, Thai green curry paste, and vegetables. It’s vegan, gluten-free and anti-inflammatory."
64,Green Goddess Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Green-Goddess-Potato-Salad-7-1.jpg,"['Gluten Free', 'Vegetarian Meals']",3,141,"Green Goddess Potato Salad made with red potatoes, scallions, capers, radishes, marinated artichokes in a creamy, green goddess dressing."
65,Baked Steelhead Trout,https://www.skinnytaste.com/wp-content/uploads/2024/04/Baked-Steelhead-Trout-8.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb']",1,242,"This easy Baked Steelhead Trout recipe is quick, flavorful, and delicious! It’s roasted with lemons, lemon zest, and capers."
66,Almond Cake,https://www.skinnytaste.com/wp-content/uploads/2015/05/Almond-Cake-19.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",6,179,"The best flour-less almond cake recipe ever! It’s gluten-free, with a fantastic light texture, and it doesn’t even need any oil or butter. Best of all, you only need 5 ingredients to make it!"
67,Chicken Saltimbocca,https://www.skinnytaste.com/wp-content/uploads/2010/05/Lighter-Chicken-Saltimbocca-6-2.jpg,"['Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes']",3,155.2,Chicken Saltimbocca is made with pounded chicken breasts stuffed with prosciutto and sage in a light white wine sauce.
68,Italian Shrimp Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Italian-Shrimp-Salad-6.jpg,"['Dairy Free Recipes', 'High Protein Recipes', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes', 'Whole30 Recipes']",4,198,"This garlicky Italian Shrimp Salad recipe is loaded with shrimp, celery, and a mix of bold Italian olives, all brightened with a lemony dressing."
69,Cream of Asparagus Soup,https://www.skinnytaste.com/wp-content/uploads/2016/02/creamyasparagussoup.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",1,81,"I LOVE cream of asparagus soup, it’s pure comfort in a bowl and so simple to make. This recipe is made with just 5 ingredients, not counting salt and pepper and is ready under 25 minutes!"
70,Ground Turkey Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/04/Ground-Turkey-Tacos-20.jpg,"['High-Fiber Recipes', 'Kid Friendly', 'Meal Prep Recipes']",11,399,"The BEST Ground Turkey Tacos from scratch for a healthy, quick and easy taco dinner the whole family will love!"
71,Braised Brisket with Potatoes and Carrots,https://www.skinnytaste.com/wp-content/uploads/2012/04/Braised-Brisket-with-Potatoes-and-Carrots.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly']",11,293,"This is the BEST Braised Brisket recipe slow cooked in the oven with potatoes, carrots, and onions. It comes out incredibly tender and flavorful for a Passover or Hanukkah meal, or any occasion."
72,Protein Waffles,https://www.skinnytaste.com/wp-content/uploads/2021/03/Protein-Waffles-1-1.jpg,"['Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",3,121,"These high protein waffles are made with cottage cheese, oat flour and eggs. So good you’ll never make them any other way!"
73,Pad Thai,https://www.skinnytaste.com/wp-content/uploads/2012/06/Shrimp-Pad-Thai-on-the-Lighter-Side-10.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",9,420,"Who needs takeout when this easy Pad Thai recipe is ready in just 25 minutes? My lightened up version has that signature sweet-and-tangy flavor, along with rice noodles, bean sprouts, tender shrimp, and scrambled eggs. Customize it with your favorite protein!"
74,Chicken Pasta Primavera,https://www.skinnytaste.com/wp-content/uploads/2024/03/Chicken-Pasta-Primavera-14.jpg,"['Freezer Meals', 'Gluten Free', 'High Protein Recipes', 'High-Fiber Recipes']",7,369,"One-Pot, Creamy Chicken Pasta Primavera made with lean chicken breast, spring veggies, and a light cream sauce. A delicious, high-protein dinner idea!"
75,Turmeric Garlic Shrimp with Cabbage-Mango Slaw,https://www.skinnytaste.com/wp-content/uploads/2015/05/TurmericGarlicShrimpwithCabbageMangoSlaw.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",2,228,"Tons of flavor in this quick, anti-inflammatory turmeric garlic shrimp dish! The perfect balance of flavors – ready in under 30 minutes."
76,Grilled Salmon Bruschetta with Avocado,https://www.skinnytaste.com/wp-content/uploads/2022/07/Grilled-Salmon-Bruschetta-6.jpg,"['Gluten Free', 'High Protein Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",3,340.5,"Grilled Salmon Bruschetta with Avocado is my go-to summer recipe, it’s so easy, fresh and flavorful, a must try!"
77,Chicken Marbella,https://www.skinnytaste.com/wp-content/uploads/2024/04/Chicken-Marbella-5.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes']",8,323,"You’ll love this faster and lighter Chicken Marbella. Chicken thighs are cooked on the stove-top with prunes, Spanish olives, capers, garlic and oregano for a flavorful and easy Mediterranean-style dish!"
78,One Pot Chicken and Orzo,https://www.skinnytaste.com/wp-content/uploads/2024/04/One-Pot-Chicken-and-Orzo-8.jpg,['High Protein Recipes'],11,425,"In this One-Pot Chicken and Orzo recipe, crispy chicken thighs cook right on top of the orzo in a garlicky tomato sauce with basil. It’s simple to make, serve it straight from the oven with your favorite side salad."
79,Arugula Salad,https://www.skinnytaste.com/wp-content/uploads/2024/04/Arugula-Salad-3.jpg,"['Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",3,96,"Baby arugula salad is my go-to when I need a quick side salad recipe for fish, steak, chicken, or pork chops!"
